Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
lpxB	PMM1334	lipid-A-disaccharide synthase	TX50_RS07160	lipid IV<sub>A</sub> biosynthesis (generic)	Fatty Acid and Lipid Biosynthesis // Cell Structure Biosynthesis
dcd	PMM0244	dCTP deaminase	TX50_RS01265		
aroA	PMM0613	3-phosphoshikimate 1-carboxyvinyltransferase	TX50_RS03260	superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis
PMM1094	PMM1094	rhodanese-related sulfurtransferase	TX50_RS05870		
clpR	PMM1313	ClpR	TX50_RS07045		
ftsH2	PMM0226	ATP-dependent zinc metalloprotease FtsH2	TX50_RS01165		
glk	PMM0596	glucokinase	TX50_RS03175	sucrose degradation III (sucrose invertase) // glycogen degradation II	Carbohydrate Degradation // Polymeric Compound Degradation // Glycan Pathways
opcA	PMM1073	OpcA protein	TX50_RS05760		
secE	PMM0206	preprotein translocase subunit SecE	TX50_RS01065		
hisIE	PMM0578	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE	TX50_RS03085	L-histidine biosynthesis	Amino Acid Biosynthesis
PMM1056	PMM1056	TrmJ/YjtD family RNA methyltransferase	TX50_RS05675		
thdF	PMM0189	Predicted GTPase	TX50_RS00980		
PMM1222	PMM1222	glycosyltransferase	TX50_RS09200		
hisG	PMM0560	ATP phosphoribosyltransferase	TX50_RS02990	L-histidine biosynthesis	Amino Acid Biosynthesis
PMM1032	PMM1032	periplasmic metal-binding protein	TX50_RS05550		
menI	PMM0173	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	TX50_RS00900	2-carboxy-1,4-naphthoquinol biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1701	PMM1701	H+/Cl- antiporter	TX50_RS09080		
por	PMM0542	Light dependent protochlorophyllide oxido-reductase	TX50_RS02900	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	Tetrapyrrole Biosynthesis
pepN	PMM1002	aminopeptidase N	TX50_RS05350		
nadK1	PMM0156	NAD kinase 1	TX50_RS00815	NAD phosphorylation and transhydrogenation // NADP biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
mazG	PMM1684	nucleoside triphosphate pyrophosphohydrolase	TX50_RS08995	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // pyrimidine deoxyribonucleotides dephosphorylation	Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Nucleoside and Nucleotide Degradation
cobO	PMM0523	corrinoid adenosyltransferase	TX50_RS02805	adenosylcobalamin salvage from cobalamin // adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide	Cofactor, Carrier, and Vitamin Biosynthesis
urtE	PMM0974	ABC-type urea transporter ATP-binding subunit UrtE	TX50_RS05180		
fabD	PMM0137	ACP S-malonyltransferase	TX50_RS00720	fatty acid biosynthesis initiation (type II)	Fatty Acid and Lipid Biosynthesis
PMM1663	PMM1663	tetratricopeptide repeat protein	TX50_RS08885		
PMM0504	PMM0504	divalent-cation tolerance protein CutA	TX50_RS02710		
PMM0958	PMM0958	DUF1830 domain-containing protein	TX50_RS05100		
zds	PMM0115	9,9'-di-cis-zeta-carotene desaturase	TX50_RS00605	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	Secondary Metabolite Biosynthesis
holA	PMM1647	DNA polymerase III delta subunit	TX50_RS08805		
xth	PMM0484	exodeoxyribonuclease III	TX50_RS02610		
dnaG	PMM0939	DNA primase	TX50_RS05005		
PMM0096	PMM0096	inositol phosphatase	TX50_RS00510	<i>myo</i>-inositol biosynthesis	Secondary Metabolite Biosynthesis
mgtE	PMM1630	magnesium transporter	TX50_RS08715		
tatC	PMM0464	twin-arginine translocase subunit TatC	TX50_RS02495		
glnA	PMM0920	glutamine synthetase	TX50_RS04910	ammonia assimilation cycle II // L-glutamine biosynthesis I	Inorganic Nutrient Metabolism // Amino Acid Biosynthesis
PMM0075	PMM0075	DUF4912 domain-containing protein	TX50_RS00395		
tkt	PMM1610	transketolase	TX50_RS08615	pentose phosphate pathway // oxygenic photosynthesis // pentose phosphate pathway (non-oxidative branch) I // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
ctaA	PMM0447	heme <i>a</i> synthase	TX50_RS02405	heme <i>a</i> biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis // Tetrapyrrole Biosynthesis
PMM0904	PMM0904	DUF2499 domain-containing protein	TX50_RS04830		
PMM0053	PMM0053	class I SAM-dependent RNA methyltransferase	TX50_RS00280		
PMM1591	PMM1591	low molecular weight phosphotyrosine protein phosphatase	TX50_RS08515		
chlG	PMM0428	chlorophyll <i>a</i><sub>2</sub> synthase	TX50_RS02310	chlorophyll <i>b</i><sub>2</sub> biosynthesis // chlorophyll <i>a</i><sub>2</sub> biosynthesis	Tetrapyrrole Biosynthesis
dapF	PMM0888	diaminopimelate epimerase	TX50_RS04745	L-lysine biosynthesis VI	Amino Acid Biosynthesis
serC	PMM0035	phosphoserine transaminase	TX50_RS00190	pyridoxal 5'-phosphate biosynthesis I // superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis // Superpathways // Amino Acid Biosynthesis
PMM1570	PMM1570	cob(I)yrinic acid a,c-diamide adenosyltransferase	TX50_RS08405	adenosylcobalamin salvage from cobalamin // adenosylcobinamide-GDP salvage from cobinamide I	Cofactor, Carrier, and Vitamin Biosynthesis
trxA	PMM0412	thioredoxin	TX50_RS02215	thioredoxin pathway // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // assimilatory sulfate reduction IV	Cofactor, Carrier, and Vitamin Biosynthesis // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Inorganic Nutrient Metabolism
rpmG	PMM0870	50S ribosomal protein L33	TX50_RS04655		
dnaJ	PMM0017	molecular chaperone DnaJ	TX50_RS00100		
rplP	PMM1551	50S ribosomal protein L16	TX50_RS08305		
PMM0394	PMM0394	YggS family pyridoxal phosphate-dependent enzyme	TX50_RS02120		
PMM0848	PMM0848	TMEM165/GDT1 family protein	TX50_RS04535		
acsF	PMM0844	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	TX50_RS04515	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	Tetrapyrrole Biosynthesis
rpsI	PMM1531	30S ribosomal protein S9	TX50_RS08210		
carB	PMM0825	Carbamoylphosphate synthase large subunit	TX50_RS04420	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // L-arginine biosynthesis II (acetyl cycle) // UMP biosynthesis I // L-arginine biosynthesis I (via L-ornithine) // L-citrulline degradation	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis // Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM1299	PMM1299	RNA methyltransferase	TX50_RS06965		
glsF	PMM1512	ferredoxin-dependent glutamate synthase	TX50_RS08110	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // ammonia assimilation cycle II // L-glutamate biosynthesis V	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis // Inorganic Nutrient Metabolism
PMM0801	PMM0801	SDR family oxidoreductase	TX50_RS04270		
PMM1279	PMM1279	TIGR03792 family protein	TX50_RS06860		
PMM1496	PMM1496	dolichyl-phosphate-mannose--protein mannosyltransferase	TX50_RS08030		
cbbA	PMM0781	fructose-bisphosphate aldolase class II	TX50_RS04170	oxygenic photosynthesis // Calvin-Benson-Bassham cycle // gluconeogenesis I // sucrose biosynthesis I (from photosynthesis)	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
PMM1260	PMM1260	SDR family oxidoreductase	TX50_RS06775		
PMM1480	PMM1480	HEAT repeat domain-containing protein	TX50_RS07950		
cynB	PMM0371	ABC-type cyanate transporter, permease component	TX50_RS01975		
PMM0763	PMM0763	DUF309 domain-containing protein	TX50_RS04080		
PMM1234	PMM1234	zinc-binding dehydrogenase	TX50_RS06645		
glnK	PMM1463	nitrogen regulatory protein P<sub>II</sub>	TX50_RS07865		
PMM0350	PMM0350	DUF1651 domain-containing protein	TX50_RS01855		
PMM0746	PMM0746	insulinase family protein	TX50_RS04000		
PMM1214	PMM1214	HAD-IIIA family hydrolase	TX50_RS06545		
nadD	PMM1445	nicotinate-nucleotide adenylyltransferase	TX50_RS07775	NAD <i>de novo</i> biosynthesis I (from aspartate)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0327	PMM0327	alkaline invertase	TX50_RS01700	inulin degradation // sucrose degradation III (sucrose invertase)	Carbohydrate Degradation // Polymeric Compound Degradation
ptrA	PMM0718	Crp/Fnr family transcriptional regulator	TX50_RS03835		
PMM1197	PMM1197	O-antigen ligase family protein	TX50_RS06460		
PMM1428	PMM1428	EVE domain-containing protein	TX50_RS07695		
PMM0311	PMM0311	methionine adenosyltransferase	TX50_RS01615	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // L-methionine degradation I (to L-homocysteine) // S-adenosyl-L-methionine biosynthesis // <i>S</i>-adenosyl-L-methionine salvage II	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Degradation
hli21	PMM0690	high light inducible protein Hli21	TX50_RS03675		
PMM1179	PMM1179	EamA family transporter	TX50_RS06365		
PMM1388	PMM1388	DUF1543 domain-containing protein	TX50_RS07465		
ndhJ	PMM0292	ferredoxin-quinone oxidoreductase subunit J	TX50_RS01515	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM0670	PMM0670	arylesterase	TX50_RS03565		
PMM1155	PMM1155	peptidylprolyl isomerase	TX50_RS06230		
PMM1369	PMM1369	GAF domain-containing protein	TX50_RS07345		
PMM0276	PMM0276	aminomethyltransferase	TX50_RS01435	glycine cleavage	Amino Acid Degradation
PMM0649	PMM0649	pentapeptide repeat-containing protein	TX50_RS03440		
ychF	PMM1138	redox-regulated ATPase YchF	TX50_RS06135		
truB	PMM1347	tRNA pseudouridine(55) synthase TruB	TX50_RS07225		
glyA	PMM0258	Glycine/serine hydroxymethyltransferase	TX50_RS01335	superpathway of L-serine and glycine biosynthesis I // folate transformations III (<i>E. coli</i>) // folate polyglutamylation // glycine biosynthesis I	Superpathways // Amino Acid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
PMM0630	PMM0630	glutathione S-transferase	TX50_RS03345		
grxD	PMM1111	Grx4 family monothiol glutaredoxin	TX50_RS05955		
PMM1330	PMM1330	DUF1825 family protein	TX50_RS07140		
glmM	PMM0241	phosphoglucosamine mutase	TX50_RS01250	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	Carbohydrate Biosynthesis
murF	PMM0610	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	TX50_RS03245	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM1091	PMM1091	TIGR00159 family protein	TX50_RS05855		
panB	PMM1310	3-methyl-2-oxobutanoate hydroxymethyltransferase	TX50_RS07030	phosphopantothenate biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis
psbA	PMM0223	photosystem II reaction center D1	TX50_RS01150	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0593	PMM0593	M3 family metallopeptidase	TX50_RS03160		
crtE	PMM1070	polyprennyl diphosphate synthase	TX50_RS05745	geranylgeranyl diphosphate biosynthesis // <i>trans, trans</i>-farnesyl diphosphate biosynthesis // geranyl diphosphate biosynthesis	Polyprenyl Biosynthesis
rplA	PMM0203	50S ribosomal protein L1	TX50_RS01050		
ycf12		photosystem II reaction center protein Ycf12		oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0574	PMM0574	YciI family protein	TX50_RS03065		
PMM1053	PMM1053	5-formyltetrahydrofolate cyclo-ligase	TX50_RS05660	folate transformations III (<i>E. coli</i>)	Cofactor, Carrier, and Vitamin Biosynthesis
hisC	PMM0186	histidinol-phosphate aminotransferase	TX50_RS00965	L-histidine biosynthesis	Amino Acid Biosynthesis
thrC	PMM1716	threonine synthase	TX50_RS09160	superpathway of L-threonine biosynthesis // superpathway of L-isoleucine biosynthesis I // L-threonine biosynthesis	Superpathways // Amino Acid Biosynthesis
PMM0557	PMM0557	DUF3136 domain-containing protein	TX50_RS02975		
PMM1029	PMM1029	ABC-type metal transporter, permease component	TX50_RS05535		
PMM0170	PMM0170	cysteine desulfurase	TX50_RS00885	tRNA-uridine 2-thiolation and selenation (bacteria) // <i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation // cytidylyl molybdenum cofactor sulfurylation // L-alanine biosynthesis III // superpathway of thiamine diphosphate biosynthesis I // thiazole component of thiamine diphosphate biosynthesis I // superpathway of thiamine diphosphate biosynthesis II // thiazole component of thiamine diphosphate biosynthesis II // [2Fe-2S] iron-sulfur cluster biosynthesis	Nucleic Acid Processing // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis // Superpathways
TX50_RS09065		dolichol kinase			
PMM0537	PMM0537	phosphoribosylanthranilate isomerase	TX50_RS02875	superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	Superpathways // Amino Acid Biosynthesis
PMM0994	PMM0994	GNAT family N-acetyltransferase	TX50_RS05305		
PMM0153	PMM0153	methylenetetrahydrofolate reductase	TX50_RS00800		
PMM1681	PMM1681	VTT domain-containing protein	TX50_RS08975		
PMM0520	PMM0520	geranylgeranyl reductase family protein	TX50_RS02790		
PMM0971	PMM0971	ABC-type branched-chain amino acid transporter, permease component	TX50_RS05165		
rpaB	PMM0134	response regulator transcription factor 2	TX50_RS00705		
PMM1660	PMM1660	SpoIID/LytB domain-containing protein	TX50_RS08870		
PMM0500	PMM0500	DUF2854 domain-containing protein	TX50_RS02690		
PMM0954	PMM0954	ABC-type multidrug transporter	TX50_RS05075		
PMM0110	PMM0110	glutathione S-transferase family protein	TX50_RS00585		
psbZ	PMM1644	photosystem II core protein PsbZ	TX50_RS08790	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0481	PMM0481	YajQ family cyclic di-GMP-binding protein	TX50_RS02590		
rlmH	PMM0935	ribosomal RNA large subunit methyltransferase H	TX50_RS04985		
PMM0091	PMM0091	DUF2973 domain-containing protein	TX50_RS00485		
PMM1627	PMM1627	carbohydrate kinase	TX50_RS08700		
petA	PMM0461	cytochrome f	TX50_RS02480	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
PMM0917	PMM0917	aminotransferase class V-fold PLP-dependent enzyme	TX50_RS04895		
PMM0071	PMM0071	SufD family Fe-S cluster assembly protein	TX50_RS00375		
psaC	PMM1607	Photosystem I iron-sulfur center subunit VII PsaC	TX50_RS08600	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
cyoC	PMM0444	Cytochrome c oxidase subunit III	TX50_RS02390	aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin // succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub>	Generation of Precursor Metabolites and Energy
htpG	PMM0901	molecular chaperone HtpG	TX50_RS04815		
argJ	PMM0050	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ	TX50_RS00265	L-arginine biosynthesis I (via L-ornithine) // L-ornithine biosynthesis I // L-arginine biosynthesis II (acetyl cycle)	Superpathways // Amino Acid Biosynthesis
rnd	PMM1584	ribonuclease D	TX50_RS08480	tRNA processing	Nucleic Acid Processing
PMM0425	PMM0425	cryptochrome/photolyase family protein	TX50_RS02290		
TX50_RS04730		D-Ala-D-Ala carboxypeptidase			
PMM0030	PMM0030	transcription factor TFIID	TX50_RS00165		
tyrA	PMM1565	prephenate/arogenate dehydrogenase	TX50_RS08380	superpathway of L-tyrosine biosynthesis // superpathway of aromatic amino acid biosynthesis // L-tyrosine biosynthesis I	Superpathways // Amino Acid Biosynthesis
metB	PMM0409	Cystathionine beta-lyase/cystathionine gamma-synthase	TX50_RS02200	<i>S</i>-(6-hydroxy-4-methylhexan-4-yl)-L-cysteinylglycine degradation // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-methionine biosynthesis (transsulfuration) // L-methionine biosynthesis I	Secondary Metabolite Degradation // Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis
metG	PMM0867	methionine--tRNA ligase	TX50_RS04640	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
dusA	PMM0014	tRNA dihydrouridine(20/20a) synthase DusA	TX50_RS00085		
rplN	PMM1548	50S ribosomal protein L14	TX50_RS08290		
fmt	PMM0841	methionyl-tRNA formyltransferase	TX50_RS04500		
PMM1528	PMM1528	HNH endonuclease	TX50_RS08195		
PMM0822	PMM0822	CGLD27 family protein	TX50_RS04405		
sodX	PMM1295	nickel-type superoxide dismutase maturation protease	TX50_RS06945		
fusA	PMM1509	elongation factor G	TX50_RS08095		
PMM0797	PMM0797	NAD-dependent epimerase/dehydratase family protein	TX50_RS04250		
thiE	PMM1274	Thiamine monophosphate synthase	TX50_RS06845	superpathway of thiamine diphosphate biosynthesis I // thiamine diphosphate biosynthesis I (E. coli) // superpathway of thiamine diphosphate biosynthesis II // thiamine diphosphate biosynthesis II (Bacillus)	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM1493	PMM1493	YlxR family protein	TX50_RS08015		
der	PMM0391	Predicted GTPase	TX50_RS02105		
PMM0778	PMM0778	cobalamin biosynthesis protein CobW	TX50_RS04155		
PMM1257	PMM1257	SDR family oxidoreductase	TX50_RS06760		
PMM1477	PMM1477	ferredoxin	TX50_RS07935		
PMM0367	PMM0367	antibiotic biosynthesis monooxygenase	TX50_RS01950		
chlP	PMM0760	Geranylgeranyl hydrogenase ChlP	TX50_RS04065	phytyl diphosphate biosynthesis	Secondary Metabolite Biosynthesis
PMM1231	PMM1231	cupin fold metalloprotein, WbuC family	TX50_RS06630		
PMM1459	PMM1459	cytochrome C biogenesis protein CcdA	TX50_RS07845		
PMM0345	PMM0345	peroxiredoxin	TX50_RS01830		
ftsH1	PMM0743	ATP-dependent zinc metalloprotease FtsH1	TX50_RS03985		
PMM1210	PMM1210	NAD-dependent epimerase/dehydratase family protein	TX50_RS06525		
PMM1442	PMM1442	M24 family metallopeptidase	TX50_RS07760		
PMM0324	PMM0324	PDZ domain-containing protein	TX50_RS01685		
gap3	PMM0713	ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase	TX50_RS03805	arsenate detoxification V	Arsenic Compound Detoxification
PMM1192	PMM1192	3'(2'),5'-bisphosphate nucleotidase CysQ	TX50_RS06430		
PMM1414	PMM1414	DUF3303 domain-containing protein	TX50_RS07620		
cpeS	PMM0306	phycobiliprotein &beta; subunit cysteine-82 (3<i>Z</i>)-phycoerythrobilin lyase monomer	TX50_RS01585		
purK	PMM0683	5-(carboxyamino)imidazole ribonucleotide synthase	TX50_RS03630	inosine-5'-phosphate biosynthesis I	Nucleoside and Nucleotide Biosynthesis
PMM1175	PMM1175	malate:sodium symporter	TX50_RS06345		
hli11	PMM1385	high light inducible protein Hli11	TX50_RS07450		
PMM0289	PMM0289	MCE family protein	TX50_RS01500		
PMM0667	PMM0667	DUF3531 family protein	TX50_RS03550		
petM	PMM1152a	cytochrome b6-f complex subunit PetM	TX50_RS06215	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
PMM1366	PMM1366	pirin family protein	TX50_RS07330		
PMM0273	PMM0273	Gfo/Idh/MocA family oxidoreductase	TX50_RS01415		
cbiX	PMM0646	sirohydrochlorin chelatase	TX50_RS03425	siroheme biosynthesis	Tetrapyrrole Biosynthesis
PMM1134	PMM1134	DUF1651 domain-containing protein	TX50_RS06105		
rplU	PMM1344	50S ribosomal protein L21	TX50_RS07210		
leuD	PMM0255	3-isopropylmalate dehydratase small subunit	TX50_RS01320	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis	Superpathways // Amino Acid Biosynthesis
PMM0625	PMM0625	TIGR02450 family Trp-rich protein	TX50_RS03320		
pdxJ	PMM1107	pyridoxine 5'-phosphate synthase	TX50_RS05935	pyridoxal 5'-phosphate biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis
plsY	PMM1327	glycerol-3-phosphate 1-<em>O</em>-acyltransferase	TX50_RS07125	CDP-diacylglycerol biosynthesis III	Fatty Acid and Lipid Biosynthesis
ileS	PMM0238	isoleucine--tRNA ligase	TX50_RS01235	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
menD	PMM0607	2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase	TX50_RS03230	2-carboxy-1,4-naphthoquinol biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
clpC	PMM1088	Clp protease chaperone/ATPase component ClpC	TX50_RS05840		
ddl	PMM1306	D-alanine--D-alanine ligase	TX50_RS07010	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
obg	PMM0218	Predicted GTPase	TX50_RS01125		
