,protein_id,path_id,main,sub,path,ecpath
22,WP_011131642.1,K00764,09100 Metabolism,09105 Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"
23,WP_011131642.1,K00764,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],"K00764  purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"
24,WP_011131643.1,K02469,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032],K02469  gyrA; DNA gyrase subunit A [EC:5.6.2.2]
25,WP_011131643.1,K02469,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K02469  gyrA; DNA gyrase subunit A [EC:5.6.2.2]
26,WP_011131644.1,,,,,
27,WP_011131645.1,K18979,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K18979  queG; epoxyqueuosine reductase [EC:1.17.99.6]
28,WP_011131646.1,,,,,
29,WP_011131648.1,K03110,09120 Genetic Information Processing,"09123 Folding, sorting and degradation",03060 Protein export [PATH:ko03060],K03110  ftsY; fused signal recognition particle receptor
30,WP_011131648.1,K03110,09130 Environmental Information Processing,09131 Membrane transport,03070 Bacterial secretion system [PATH:ko03070],K03110  ftsY; fused signal recognition particle receptor
31,WP_011131648.1,K03110,09140 Cellular Processes,09145 Cellular community - prokaryotes,02024 Quorum sensing [PATH:ko02024],K03110  ftsY; fused signal recognition particle receptor
32,WP_011131648.1,K03110,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02044 Secretion system [BR:ko02044],K03110  ftsY; fused signal recognition particle receptor
33,WP_011131649.1,K07315,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],K07315  rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
34,WP_011131650.1,K01755,09100 Metabolism,09105 Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
35,WP_011131650.1,K01755,09100 Metabolism,09105 Amino acid metabolism,00220 Arginine biosynthesis [PATH:ko00220],"K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
36,WP_011131650.1,K01755,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],"K01755  argH, ASL; argininosuccinate lyase [EC:4.3.2.1]"
37,WP_011131652.1,K05539,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],K05539  dusA; tRNA-dihydrouridine synthase A [EC:1.-.-.-]
38,WP_011131653.1,K07305,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,K07305  msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]
39,WP_011131654.1,K03687,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03687  GRPE; molecular chaperone GrpE
40,WP_011131654.1,K03687,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],K03687  GRPE; molecular chaperone GrpE
41,WP_011131655.1,K03686,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],K03686  dnaJ; molecular chaperone DnaJ
42,WP_011131655.1,K03686,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],K03686  dnaJ; molecular chaperone DnaJ
43,WP_011131656.1,,,,,
44,WP_011131657.1,K06949,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
45,WP_011131657.1,K06949,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],"K06949  rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
46,WP_011131658.1,K09747,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99998 Others,K09747  ebfC; nucleoid-associated protein EbfC
47,WP_011131659.1,K00075,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
48,WP_011131659.1,K00075,09100 Metabolism,09107 Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
49,WP_011131659.1,K00075,09180 Brite Hierarchies,09181 Protein families: metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K00075  murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
50,WP_011131660.1,K01924,09100 Metabolism,09107 Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550],K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
51,WP_011131660.1,K01924,09180 Brite Hierarchies,09181 Protein families: metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K01924  murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
52,WP_011131661.1,K00150,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],K00150  gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
53,WP_011131661.1,K00150,09100 Metabolism,09102 Energy metabolism,00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],K00150  gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
54,WP_011131662.1,K00946,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00730 Thiamine metabolism [PATH:ko00730],K00946  thiL; thiamine-monophosphate kinase [EC:2.7.4.16]
55,WP_011131663.1,,,,,
56,WP_011131664.1,K02356,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],K02356  efp; elongation factor P
57,WP_011131665.1,K02160,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
58,WP_011131665.1,K02160,09100 Metabolism,09101 Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
59,WP_011131665.1,K02160,09100 Metabolism,09102 Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
60,WP_011131665.1,K02160,09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"
61,WP_011131666.1,,,,,
62,WP_011131667.1,,,,,
63,WP_011131669.1,,,,,
64,WP_011131670.1,,,,,
65,WP_011131671.1,K07120,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K07120  K07120; uncharacterized protein
66,WP_011131672.1,,,,,
67,WP_011131674.1,K02188,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00860 Porphyrin metabolism [PATH:ko00860],K02188  cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]
68,WP_011131675.1,K01951,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
69,WP_011131675.1,K01951,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
70,WP_011131675.1,K01951,09180 Brite Hierarchies,09181 Protein families: metabolism,01002 Peptidases and inhibitors [BR:ko01002],"K01951  guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
71,WP_011131676.1,,,,,
72,WP_011131677.1,,,,,
73,WP_011131678.1,K05515,09100 Metabolism,09107 Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550],K05515  mrdA; penicillin-binding protein 2 [EC:3.4.16.4]
74,WP_011131678.1,K05515,09160 Human Diseases,09175 Drug resistance: antimicrobial,01501 beta-Lactam resistance [PATH:ko01501],K05515  mrdA; penicillin-binding protein 2 [EC:3.4.16.4]
75,WP_011131678.1,K05515,09180 Brite Hierarchies,09181 Protein families: metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011],K05515  mrdA; penicillin-binding protein 2 [EC:3.4.16.4]
76,WP_011131679.1,K19784,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99988 Secondary metabolism,"K19784  chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)"
77,WP_011131680.1,,,,,
78,WP_011131681.1,,,,,
79,WP_011131682.1,K01872,09120 Genetic Information Processing,09122 Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
80,WP_011131682.1,K01872,09180 Brite Hierarchies,09181 Protein families: metabolism,01007 Amino acid related enzymes [BR:ko01007],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
81,WP_011131682.1,K01872,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],"K01872  AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
82,WP_011131683.1,K01585,09100 Metabolism,09105 Amino acid metabolism,00330 Arginine and proline metabolism [PATH:ko00330],K01585  speA; arginine decarboxylase [EC:4.1.1.19]
83,WP_011131684.1,K00940,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
84,WP_011131684.1,K00940,09100 Metabolism,09104 Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
85,WP_011131684.1,K00940,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
86,WP_011131684.1,K00940,09130 Environmental Information Processing,09132 Signal transduction,04016 MAPK signaling pathway - plant [PATH:ko04016],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
87,WP_011131684.1,K00940,09180 Brite Hierarchies,09182 Protein families: genetic information processing,04131 Membrane trafficking [BR:ko04131],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
88,WP_011131685.1,,,,,
89,WP_011131686.1,K02434,09120 Genetic Information Processing,09122 Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],"K02434  gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"
90,WP_011131686.1,K02434,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],"K02434  gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"
91,WP_011131687.1,K00859,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],K00859  coaE; dephospho-CoA kinase [EC:2.7.1.24]
92,WP_011131689.1,K03496,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],"K03496  parA, soj; chromosome partitioning protein"
93,WP_011131689.1,K03496,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04812 Cytoskeleton proteins [BR:ko04812],"K03496  parA, soj; chromosome partitioning protein"
94,WP_011131690.1,K05275,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00750 Vitamin B6 metabolism [PATH:ko00750],K05275  E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]
95,WP_011131691.1,K25137,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K25137  rlmL; 23S rRNA (guanine2445-N2)-methyltransferase [EC:2.1.1.173]
96,WP_011131692.1,,,,,
97,WP_011131693.1,,,,,
98,WP_011131694.1,,,,,
99,WP_011131697.1,,,,,
100,WP_011131698.1,K01961,09100 Metabolism,09101 Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
101,WP_011131698.1,K01961,09100 Metabolism,09101 Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
102,WP_011131698.1,K01961,09100 Metabolism,09102 Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
103,WP_011131698.1,K01961,09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
104,WP_011131699.1,K02221,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02044 Secretion system [BR:ko02044],K02221  yggT; YggT family protein
105,WP_011131701.1,,,,,
106,WP_011131702.1,,,,,
107,WP_011131703.1,K02471,09130 Environmental Information Processing,09131 Membrane transport,02010 ABC transporters [PATH:ko02010],"K02471  bacA, bclA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein"
108,WP_011131703.1,K02471,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K02471  bacA, bclA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein"
109,WP_011131704.1,,,,,
110,WP_011131705.1,K02503,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,04147 Exosome [BR:ko04147],"K02503  HINT1, hinT, hit; histidine triad (HIT) family protein"
111,WP_011131706.1,K01462,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K01462  PDF, def; peptide deformylase [EC:3.5.1.88]"
112,WP_011131707.1,,,,,
113,WP_011131708.1,K11717,09100 Metabolism,09106 Metabolism of other amino acids,00450 Selenocompound metabolism [PATH:ko00450],K11717  sufS; cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
114,WP_011131709.1,K09015,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K09015  sufD; Fe-S cluster assembly protein SufD
115,WP_011131710.1,K09013,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K09013  sufC; Fe-S cluster assembly ATP-binding protein
116,WP_011131711.1,K09014,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99996 General function prediction only,K09014  sufB; Fe-S cluster assembly protein SufB
117,WP_011131712.1,,,,,
118,WP_011131713.1,K09942,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09942  K09942; uncharacterized protein
119,WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
120,WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ko00030],K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
121,WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00052 Galactose metabolism [PATH:ko00052],K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
122,WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00500 Starch and sucrose metabolism [PATH:ko00500],K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
123,WP_011131714.1,K01835,09100 Metabolism,09101 Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
124,WP_011131714.1,K01835,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
125,WP_011131714.1,K01835,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00521 Streptomycin biosynthesis [PATH:ko00521],K01835  pgm; phosphoglucomutase [EC:5.4.2.2]
126,WP_011131715.1,K07478,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99976 Replication and repair,K07478  ycaJ; putative ATPase
127,WP_011131716.1,K06133,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],"K06133  LYS5, acpT; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]"
128,WP_011131717.1,K03564,09190 Not Included in Pathway or Brite,09191 Unclassified: metabolism,99980 Enzymes with EC numbers,"K03564  BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]"
129,WP_011131718.1,K03525,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770],K03525  coaX; type III pantothenate kinase [EC:2.7.1.33]
130,WP_011131719.1,K00390,09100 Metabolism,09102 Energy metabolism,00920 Sulfur metabolism [PATH:ko00920],K00390  cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
131,WP_011131720.1,K17872,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130],"K17872  NDC1, ndbB; demethylphylloquinone reductase [EC:1.6.5.12]"
132,WP_011131721.1,,,,,
133,WP_011131722.1,K03498,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03498  trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein"
134,WP_011131723.1,K03499,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K03499  trkA, ktrA, ktrC; trk/ktr system potassium uptake protein"
135,WP_011131724.1,,,,,
136,WP_011131725.1,,,,,
137,WP_011131726.1,,,,,
138,WP_011131727.1,K06158,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03012 Translation factors [BR:ko03012],"K06158  ABCF3; ATP-binding cassette, subfamily F, member 3"
139,WP_011131728.1,,,,,
140,WP_011131729.1,,,,,
141,WP_011131731.1,,,,,
142,WP_011131732.1,,,,,
143,WP_011131734.1,K01092,09100 Metabolism,09101 Carbohydrate metabolism,00562 Inositol phosphate metabolism [PATH:ko00562],"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
144,WP_011131734.1,K01092,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00521 Streptomycin biosynthesis [PATH:ko00521],"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
145,WP_011131734.1,K01092,09130 Environmental Information Processing,09132 Signal transduction,04070 Phosphatidylinositol signaling system [PATH:ko04070],"K01092  E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
146,WP_011131735.1,,,,,
147,WP_011131736.1,,,,,
148,WP_011131737.1,,,,,
149,WP_011131738.1,K00278,09100 Metabolism,09105 Amino acid metabolism,"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]",K00278  nadB; L-aspartate oxidase [EC:1.4.3.16]
150,WP_011131738.1,K00278,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00760 Nicotinate and nicotinamide metabolism [PATH:ko00760],K00278  nadB; L-aspartate oxidase [EC:1.4.3.16]
151,WP_011131739.1,,,,,
152,WP_011131740.1,K14441,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K14441  rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]
153,WP_011131742.1,,,,,
154,WP_011131743.1,K09919,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K09919  K09919; uncharacterized protein
155,WP_011131744.1,,,,,
156,WP_011131745.1,K01737,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00790 Folate biosynthesis [PATH:ko00790],"K01737  queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
157,WP_011131745.1,K01737,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],"K01737  queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
158,WP_011131746.1,K00891,09100 Metabolism,09105 Amino acid metabolism,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","K00891  aroK, aroL; shikimate kinase [EC:2.7.1.71]"
159,WP_011131747.1,,,,,
160,WP_011131748.1,,,,,
161,WP_011131749.1,K00799,09100 Metabolism,09106 Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
162,WP_011131749.1,K00799,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00980 Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
163,WP_011131749.1,K00799,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00982 Drug metabolism - cytochrome P450 [PATH:ko00982],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
164,WP_011131749.1,K00799,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
165,WP_011131749.1,K00799,09150 Organismal Systems,09149 Aging,04212 Longevity regulating pathway - worm [PATH:ko04212],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
166,WP_011131749.1,K00799,09160 Human Diseases,09161 Cancer: overview,05200 Pathways in cancer [PATH:ko05200],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
167,WP_011131749.1,K00799,09160 Human Diseases,09161 Cancer: overview,05204 Chemical carcinogenesis - DNA adducts [PATH:ko05204],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
168,WP_011131749.1,K00799,09160 Human Diseases,09161 Cancer: overview,05207 Chemical carcinogenesis - receptor activation [PATH:ko05207],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
169,WP_011131749.1,K00799,09160 Human Diseases,09161 Cancer: overview,05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
170,WP_011131749.1,K00799,09160 Human Diseases,09162 Cancer: specific types,05225 Hepatocellular carcinoma [PATH:ko05225],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
171,WP_011131749.1,K00799,09160 Human Diseases,09166 Cardiovascular disease,05418 Fluid shear stress and atherosclerosis [PATH:ko05418],"K00799  GST, gst; glutathione S-transferase [EC:2.5.1.18]"
