Entry	Entry name	Status	Protein names	Gene names	Cross-reference (KEGG)	Organism	Length	Pathway	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Annotation	Caution	Features	Gene ontology IDs	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Signal peptide	Transit peptide	Cross-reference (Bgee)	Cross-reference (CollecTF)	Cross-reference (BioCyc)	Cross-reference (RefSeq)
Q7V3N0	SYA_PROMP	reviewed	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS PMM0044	pmm:PMM0044;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	886		PMM0044	alaS		3 out of 5		Chain (1); Metal binding (4)	GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270	alanyl-tRNA aminoacylation [GO:0006419]	cytoplasm [GO:0005737]	alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]						WP_011131682.1;
Q7V1I9	UVRC_PROMP	reviewed	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC PMM0882	pmm:PMM0882;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	656		PMM0882	uvrC		2 out of 5		Chain (1); Domain (2)	GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432	nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]	DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]						WP_011132515.1;
Q7V1B2	UREE_PROMP	reviewed	Urease accessory protein UreE	ureE PMM0967	pmm:PMM0967;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	154		PMM0967	ureE		2 out of 5		Chain (1)	GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003	protein-containing complex assembly [GO:0065003]; protein folding [GO:0006457]; urea metabolic process [GO:0019627]	cytoplasm [GO:0005737]	nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]						WP_011132600.1;
Q7UZL3	UVRB_PROMP	reviewed	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB PMM1649	pmm:PMM1649;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	679		PMM1649	uvrB		3 out of 5		Chain (1); Domain (3); Motif (1); Nucleotide binding (1)	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887	nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]						WP_011133276.1;
Q7V1B4	URE3_PROMP	reviewed	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	ureA PMM0965	pmm:PMM0965;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	100	PATHWAY: Nitrogen metabolism; urea degradation; CO(2) and NH(3) from urea (urease route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00739}.	PMM0965	ureA		2 out of 5		Chain (1)	GO:0005737; GO:0009039; GO:0016151; GO:0043419	urea catabolic process [GO:0043419]	cytoplasm [GO:0005737]	nickel cation binding [GO:0016151]; urease activity [GO:0009039]						WP_011132598.1;
Q7V1B0	UREG_PROMP	reviewed	Urease accessory protein UreG	ureG PMM0969	pmm:PMM0969;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	201		PMM0969	ureG		2 out of 5		Chain (1); Nucleotide binding (1)	GO:0003924; GO:0005525; GO:0005737; GO:0006807; GO:0016151	nitrogen compound metabolic process [GO:0006807]	cytoplasm [GO:0005737]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; nickel cation binding [GO:0016151]						WP_011132602.1;
Q7V1B5	URE2_PROMP	reviewed	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	ureB PMM0964	pmm:PMM0964;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	106	PATHWAY: Nitrogen metabolism; urea degradation; CO(2) and NH(3) from urea (urease route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_01954}.	PMM0964	ureB		2 out of 5		Chain (1)	GO:0009039; GO:0035550; GO:0043419	urea catabolic process [GO:0043419]	urease complex [GO:0035550]	urease activity [GO:0009039]						WP_011132597.1;
Q7V1B6	URE1_PROMP	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC PMM0963	pmm:PMM0963;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	569	PATHWAY: Nitrogen metabolism; urea degradation; CO(2) and NH(3) from urea (urease route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_01953}.	PMM0963	ureC		3 out of 5		Active site (1); Binding site (1); Chain (1); Domain (1); Metal binding (7); Modified residue (1)	GO:0005737; GO:0009039; GO:0016151; GO:0043419	urea catabolic process [GO:0043419]	cytoplasm [GO:0005737]	nickel cation binding [GO:0016151]; urease activity [GO:0009039]						WP_011132596.1;
Q7V277	MEND_PROMP	reviewed	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9)	menD PMM0607	pmm:PMM0607;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	588	PATHWAY: Quinol/quinone metabolism; 1,4-dihydroxy-2-naphthoate biosynthesis; 1,4-dihydroxy-2-naphthoate from chorismate: step 2/7. {ECO:0000255|HAMAP-Rule:MF_01659}.; PATHWAY: Cofactor biosynthesis; phylloquinone biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01659}.	PMM0607	menD		3 out of 5		Chain (1)	GO:0000287; GO:0009234; GO:0030145; GO:0030976; GO:0042372; GO:0070204	menaquinone biosynthetic process [GO:0009234]; phylloquinone biosynthetic process [GO:0042372]		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity [GO:0070204]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; thiamine pyrophosphate binding [GO:0030976]						WP_011132241.1;
Q7V2Y6	NRDR_PROMP	reviewed	Transcriptional repressor NrdR	nrdR PMM0313	pmm:PMM0313;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	159		PMM0313	nrdR		2 out of 5		Chain (1); Domain (1); Zinc finger (1)	GO:0003677; GO:0005524; GO:0008270; GO:0045892	negative regulation of transcription, DNA-templated [GO:0045892]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]						WP_011131950.1;
Q7V3G3	RBFA_PROMP	reviewed	Ribosome-binding factor A	rbfA PMM0112	pmm:PMM0112;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	132		PMM0112	rbfA		2 out of 5		Chain (1)	GO:0005737; GO:0030490	maturation of SSU-rRNA [GO:0030490]	cytoplasm [GO:0005737]							WP_011131751.1;
Q7V2D0	RBL_PROMP	reviewed	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)	cbbL rbcL PMM0550	pmm:PMM0550;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	471		PMM0550	cbbL	rbcL	4 out of 5		Active site (2); Binding site (6); Chain (1); Metal binding (3); Modified residue (1); Site (1)	GO:0000287; GO:0004497; GO:0009853; GO:0016984; GO:0019253; GO:0031470	photorespiration [GO:0009853]; reductive pentose-phosphate cycle [GO:0019253]	carboxysome [GO:0031470]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]						WP_002805854.1;
Q7V323	PSBK_PROMP	reviewed	Photosystem II reaction center protein K (PSII-K)	psbK PMM0272	pmm:PMM0272;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	46		PMM0272	psbK		2 out of 5		Chain (1); Propeptide (1); Transmembrane (1)	GO:0009539; GO:0015979; GO:0016021; GO:0031676	photosynthesis [GO:0015979]	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]							WP_011131909.1;
Q7V0Z7	RECR_PROMP	reviewed	Recombination protein RecR	recR PMM1097	pmm:PMM1097;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	199		PMM1097	recR		2 out of 5		Chain (1); Domain (1); Zinc finger (1)	GO:0003677; GO:0006281; GO:0006310; GO:0046872	DNA recombination [GO:0006310]; DNA repair [GO:0006281]		DNA binding [GO:0003677]; metal ion binding [GO:0046872]						WP_011132730.1;
Q7UZV6	RL5_PROMP	reviewed	50S ribosomal protein L5	rplE rpl5 PMM1546	pmm:PMM1546;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	178		PMM1546	rplE	rpl5	2 out of 5		Chain (1)	GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843	translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]						WP_011133174.1;
Q7V0I6	SURE_PROMP	reviewed	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	surE PMM1271	pmm:PMM1271;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	269		PMM1271	surE		2 out of 5		Chain (1); Metal binding (4)	GO:0000166; GO:0005737; GO:0008253; GO:0046872		cytoplasm [GO:0005737]	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]						WP_011132905.1;
Q7V0D7	SYY_PROMP	reviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS PMM1329	pmm:PMM1329;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	412		PMM1329	tyrS		3 out of 5		Binding site (1); Chain (1); Domain (1); Motif (2)	GO:0003723; GO:0004831; GO:0005524; GO:0005737; GO:0006437	tyrosyl-tRNA aminoacylation [GO:0006437]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]						WP_011132963.1;
Q7V287	SYT_PROMP	reviewed	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS PMM0597	pmm:PMM0597;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	638		PMM0597	thrS		3 out of 5		Chain (1); Domain (1); Metal binding (3); Region (1)	GO:0000049; GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0046872	threonyl-tRNA aminoacylation [GO:0006435]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]						WP_011132231.1;
Q7V286	SYW_PROMP	reviewed	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS PMM0598	pmm:PMM0598;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	338		PMM0598	trpS		3 out of 5		Binding site (2); Chain (1); Motif (2); Nucleotide binding (4)	GO:0004830; GO:0005524; GO:0005737; GO:0006436	tryptophanyl-tRNA aminoacylation [GO:0006436]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]						WP_011132232.1;
Q7V0R7	SYS_PROMP	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS PMM1188	pmm:PMM1188;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	424	PATHWAY: Aminoacyl-tRNA biosynthesis; selenocysteinyl-tRNA(Sec) biosynthesis; L-seryl-tRNA(Sec) from L-serine and tRNA(Sec): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00176}.	PMM1188	serS		3 out of 5		Binding site (2); Chain (1); Nucleotide binding (2); Region (1)	GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0097056	selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]						WP_011132822.1;
Q7V2H0	SYP_PROMP	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS PMM0508	pmm:PMM0508;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	600		PMM0508	proS		2 out of 5		Chain (1)	GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433	prolyl-tRNA aminoacylation [GO:0006433]	cytoplasm [GO:0005737]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]						WP_011132143.1;
Q7V396	SYR_PROMP	reviewed	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS PMM0187	pmm:PMM0187;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	603		PMM0187	argS		2 out of 5		Chain (1); Motif (1)	GO:0004814; GO:0005524; GO:0005737; GO:0006420	arginyl-tRNA aminoacylation [GO:0006420]	cytoplasm [GO:0005737]	arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]						WP_011131826.1;
Q7V3P8	MURC_PROMP	reviewed	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC PMM0022	pmm:PMM0022;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	473	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00046}.	PMM0022	murC		3 out of 5		Chain (1); Nucleotide binding (1)	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008763; GO:0009252; GO:0051301; GO:0071555	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]						WP_011131660.1;
Q7UZL7	RISB_PROMP	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH PMM1643	pmm:PMM1643;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	158	PATHWAY: Cofactor biosynthesis; riboflavin biosynthesis; riboflavin from 2-hydroxy-3-oxobutyl phosphate and 5-amino-6-(D-ribitylamino)uracil: step 1/2. {ECO:0000255|HAMAP-Rule:MF_00178}.	PMM1643	ribH		2 out of 5		Active site (1); Binding site (3); Chain (1); Region (3)	GO:0000906; GO:0009231; GO:0009349	riboflavin biosynthetic process [GO:0009231]	riboflavin synthase complex [GO:0009349]	6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]						WP_011133270.1;
Q7UZK8	TIG_PROMP	reviewed	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig PMM1655	pmm:PMM1655;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	473		PMM1655	tig		3 out of 5		Chain (1); Compositional bias (1); Domain (1); Region (1)	GO:0003755; GO:0005737; GO:0006457; GO:0007049; GO:0015031; GO:0051301	cell cycle [GO:0007049]; cell division [GO:0051301]; protein folding [GO:0006457]; protein transport [GO:0015031]	cytoplasm [GO:0005737]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]						WP_011133282.1;
Q7UZQ1	PSAC_PROMP	reviewed	Photosystem I iron-sulfur center (EC 1.97.1.12) (9 kDa polypeptide) (PSI-C) (Photosystem I subunit VII) (PsaC)	psaC PMM1607	pmm:PMM1607;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	81		PMM1607	psaC		3 out of 5		Chain (1); Domain (2); Initiator methionine (1); Metal binding (8)	GO:0009055; GO:0009522; GO:0009773; GO:0031676; GO:0046872; GO:0051539	photosynthetic electron transport in photosystem I [GO:0009773]	photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]						WP_007099573.1;
Q7V1L2	RL32_PROMP	reviewed	50S ribosomal protein L32	rpmF rpl32 PMM0853	pmm:PMM0853;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	58		PMM0853	rpmF	rpl32	2 out of 5		Chain (1)	GO:0003735; GO:0006412; GO:0015934	translation [GO:0006412]	large ribosomal subunit [GO:0015934]	structural constituent of ribosome [GO:0003735]						WP_011132487.1;
Q7UZJ1	RL9_PROMP	reviewed	50S ribosomal protein L9	rplI rpl9 PMM1673	pmm:PMM1673;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	151		PMM1673	rplI	rpl9	2 out of 5		Chain (1)	GO:0003735; GO:0005840; GO:0006412; GO:0019843	translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						WP_011133300.1;
Q7V3B1	RSMH_PROMP	reviewed	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW PMM0171	pmm:PMM0171;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	300		PMM0171	rsmH	mraW	2 out of 5		Binding site (4); Chain (1); Region (1)	GO:0005737; GO:0070475; GO:0071424	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]						WP_011131810.1;
Q7V1E1	RSMA_PROMP	reviewed	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA PMM0933	pmm:PMM0933;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	277		PMM0933	rsmA	ksgA	3 out of 5		Binding site (6); Chain (1)	GO:0003723; GO:0005737; GO:0052908		cytoplasm [GO:0005737]	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; RNA binding [GO:0003723]						WP_011132566.1;
Q7V016	RSMG_PROMP	reviewed	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	rsmG PMM1475	pmm:PMM1475;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	239		PMM1475	rsmG		2 out of 5		Binding site (3); Chain (1); Region (2)	GO:0005737; GO:0070043		cytoplasm [GO:0005737]	rRNA (guanine-N7-)-methyltransferase activity [GO:0070043]						WP_011133103.1;
Q7V0C7	PUR7_PROMP	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC PMM1339	pmm:PMM1339;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	242	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate: step 1/2. {ECO:0000255|HAMAP-Rule:MF_00137}.	PMM1339	purC		2 out of 5		Chain (1)	GO:0004639; GO:0005524; GO:0006189; GO:0009236	'de novo' IMP biosynthetic process [GO:0006189]; cobalamin biosynthetic process [GO:0009236]		ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]						WP_011132973.1;
Q7TU29	RL14_PROMP	reviewed	50S ribosomal protein L14	rplN rpl14 PMM1548	pmm:PMM1548;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	121		PMM1548	rplN	rpl14	2 out of 5		Chain (1)	GO:0003735; GO:0006412; GO:0015934; GO:0019843	translation [GO:0006412]	large ribosomal subunit [GO:0015934]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]						WP_011133176.1;
