,protein_id,path_id,main,sub,path,ecpath
70,WP_012517630.1,K02391,09140 Cellular Processes,09142 Cell motility,02040 Flagellar assembly [PATH:ko02040],K02391  flgF; flagellar basal-body rod protein FlgF
71,WP_012517630.1,K02391,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02035 Bacterial motility proteins [BR:ko02035],K02391  flgF; flagellar basal-body rod protein FlgF
72,WP_012517675.1,K02420,09140 Cellular Processes,09142 Cell motility,02040 Flagellar assembly [PATH:ko02040],K02420  fliQ; flagellar biosynthesis protein FliQ
73,WP_012517675.1,K02420,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02044 Secretion system [BR:ko02044],K02420  fliQ; flagellar biosynthesis protein FliQ
74,WP_012517675.1,K02420,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02035 Bacterial motility proteins [BR:ko02035],K02420  fliQ; flagellar biosynthesis protein FliQ
75,WP_012517682.1,K03413,09130 Environmental Information Processing,09132 Signal transduction,02020 Two-component system [PATH:ko02020],"K03413  cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
76,WP_012517682.1,K03413,09140 Cellular Processes,09142 Cell motility,02030 Bacterial chemotaxis [PATH:ko02030],"K03413  cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
77,WP_012517682.1,K03413,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02022 Two-component system [BR:ko02022],"K03413  cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
78,WP_012517682.1,K03413,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02035 Bacterial motility proteins [BR:ko02035],"K03413  cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
79,WP_012517705.1,K03563,09130 Environmental Information Processing,09132 Signal transduction,02020 Two-component system [PATH:ko02020],K03563  csrA; carbon storage regulator
80,WP_012517705.1,K03563,09140 Cellular Processes,09145 Cellular community - prokaryotes,05111 Biofilm formation - Vibrio cholerae [PATH:ko05111],K03563  csrA; carbon storage regulator
81,WP_012517705.1,K03563,09140 Cellular Processes,09145 Cellular community - prokaryotes,02025 Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025],K03563  csrA; carbon storage regulator
82,WP_012517705.1,K03563,09140 Cellular Processes,09145 Cellular community - prokaryotes,02026 Biofilm formation - Escherichia coli [PATH:ko02026],K03563  csrA; carbon storage regulator
83,WP_012517705.1,K03563,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03019 Messenger RNA biogenesis [BR:ko03019],K03563  csrA; carbon storage regulator
84,WP_012517736.1,K03561,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K03561  exbB; biopolymer transport protein ExbB
85,WP_012517737.1,K03559,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],K03559  exbD; biopolymer transport protein ExbD
86,WP_012517742.1,,,,,
87,WP_012517852.1,K07589,09100 Metabolism,09108 Metabolism of cofactors and vitamins,00790 Folate biosynthesis [PATH:ko00790],"K07589  folX; D-erythro-7,8-dihydroneopterin triphosphate epimerase [EC:5.1.99.7]"
88,WP_012517879.1,K06186,09180 Brite Hierarchies,09183 Protein families: signaling and cellular processes,02000 Transporters [BR:ko02000],"K06186  bamE, smpA; outer membrane protein assembly factor BamE"
89,WP_012518091.1,K02916,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02916  RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
90,WP_012518091.1,K02916,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02916  RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
91,WP_012518092.1,K02887,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02887  RP-L20, MRPL20, rplT; large subunit ribosomal protein L20"
92,WP_012518092.1,K02887,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02887  RP-L20, MRPL20, rplT; large subunit ribosomal protein L20"
93,WP_012518127.1,K01889,09120 Genetic Information Processing,09122 Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],"K01889  FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
94,WP_012518127.1,K01889,09180 Brite Hierarchies,09181 Protein families: metabolism,01007 Amino acid related enzymes [BR:ko01007],"K01889  FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
95,WP_012518127.1,K01889,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03016 Transfer RNA biogenesis [BR:ko03016],"K01889  FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
96,WP_012518206.1,K02911,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02911  RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
97,WP_012518206.1,K02911,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02911  RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
98,WP_012518206.1,K02911,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],"K02911  RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
99,WP_012518211.1,K02078,09100 Metabolism,09103 Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],K02078  acpP; acyl carrier protein
100,WP_012518211.1,K02078,09100 Metabolism,09110 Biosynthesis of other secondary metabolites,00998 Biosynthesis of various antibiotics [PATH:ko00998],K02078  acpP; acyl carrier protein
101,WP_012518257.1,K02956,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02956  RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
102,WP_012518257.1,K02956,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02956  RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
103,WP_012518305.1,,,,,
104,WP_012518362.1,K00240,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],"K00240  sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
105,WP_012518362.1,K00240,09100 Metabolism,09101 Carbohydrate metabolism,00650 Butanoate metabolism [PATH:ko00650],"K00240  sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
106,WP_012518362.1,K00240,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],"K00240  sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
107,WP_012518362.1,K00240,09100 Metabolism,09102 Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],"K00240  sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
108,WP_012518366.1,K01902,09100 Metabolism,09101 Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],K01902  sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
109,WP_012518366.1,K01902,09100 Metabolism,09101 Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],K01902  sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
110,WP_012518366.1,K01902,09100 Metabolism,09101 Carbohydrate metabolism,00660 C5-Branched dibasic acid metabolism [PATH:ko00660],K01902  sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
111,WP_012518366.1,K01902,09100 Metabolism,09102 Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],K01902  sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
112,WP_012518669.1,,,,,
113,WP_012518757.1,K07484,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99976 Replication and repair,K07484  K07484; transposase
114,WP_012518828.1,,,,,
115,WP_012518940.1,K03625,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],K03625  nusB; transcription antitermination protein NusB
116,WP_012518940.1,K03625,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03009 Ribosome biogenesis [BR:ko03009],K03625  nusB; transcription antitermination protein NusB
117,WP_012518957.1,K03088,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03021 Transcription machinery [BR:ko03021],"K03088  rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
118,WP_012518978.1,K03530,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03032 DNA replication proteins [BR:ko03032],K03530  hupB; DNA-binding protein HU-beta
119,WP_012518978.1,K03530,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],K03530  hupB; DNA-binding protein HU-beta
120,WP_012518978.1,K03530,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],K03530  hupB; DNA-binding protein HU-beta
121,WP_012519000.1,K00940,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
122,WP_012519000.1,K00940,09100 Metabolism,09104 Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
123,WP_012519000.1,K00940,09100 Metabolism,09111 Xenobiotics biodegradation and metabolism,00983 Drug metabolism - other enzymes [PATH:ko00983],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
124,WP_012519000.1,K00940,09130 Environmental Information Processing,09132 Signal transduction,04016 MAPK signaling pathway - plant [PATH:ko04016],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
125,WP_012519000.1,K00940,09180 Brite Hierarchies,09182 Protein families: genetic information processing,04131 Membrane trafficking [BR:ko04131],"K00940  ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
126,WP_012519093.1,,,,,
127,WP_012519109.1,K08722,09100 Metabolism,09104 Nucleotide metabolism,00230 Purine metabolism [PATH:ko00230],K08722  yfbR; 5'-deoxynucleotidase [EC:3.1.3.89]
128,WP_012519109.1,K08722,09100 Metabolism,09104 Nucleotide metabolism,00240 Pyrimidine metabolism [PATH:ko00240],K08722  yfbR; 5'-deoxynucleotidase [EC:3.1.3.89]
129,WP_012519212.1,K02879,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02879  RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
130,WP_012519212.1,K02879,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02879  RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
131,WP_012519214.1,K02986,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02986  RP-S4, rpsD; small subunit ribosomal protein S4"
132,WP_012519214.1,K02986,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02986  RP-S4, rpsD; small subunit ribosomal protein S4"
133,WP_012519215.1,K02948,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02948  RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
134,WP_012519215.1,K02948,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02948  RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
135,WP_012519216.1,K02952,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02952  RP-S13, rpsM; small subunit ribosomal protein S13"
136,WP_012519216.1,K02952,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02952  RP-S13, rpsM; small subunit ribosomal protein S13"
137,WP_012519217.1,K02919,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02919  RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
138,WP_012519217.1,K02919,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02919  RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
139,WP_012519221.1,K02988,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02988  RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
140,WP_012519221.1,K02988,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02988  RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
141,WP_012519224.1,K02994,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02994  RP-S8, rpsH; small subunit ribosomal protein S8"
142,WP_012519224.1,K02994,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02994  RP-S8, rpsH; small subunit ribosomal protein S8"
143,WP_012519228.1,K02874,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02874  RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
144,WP_012519228.1,K02874,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02874  RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
145,WP_012519465.1,K03925,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],K03925  mraZ; transcriptional regulator MraZ
146,WP_012519516.1,,,,,
147,WP_012519905.1,K03704,09190 Not Included in Pathway or Brite,09192 Unclassified: genetic information processing,99973 Transcription,K03704  cspA; cold shock protein
148,WP_012519953.1,K02939,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02939  RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
149,WP_012519953.1,K02939,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02939  RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
150,WP_012519954.1,K02963,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02963  RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
151,WP_012519954.1,K02963,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02963  RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
152,WP_012520077.1,K02300,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],K02300  cyoD; cytochrome o ubiquinol oxidase subunit IV
153,WP_012520088.1,K04078,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],"K04078  groES, HSPE1; chaperonin GroES"
154,WP_012520088.1,K04078,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03029 Mitochondrial biogenesis [BR:ko03029],"K04078  groES, HSPE1; chaperonin GroES"
155,WP_012520109.1,K03557,09140 Cellular Processes,09145 Cellular community - prokaryotes,05111 Biofilm formation - Vibrio cholerae [PATH:ko05111],"K03557  fis; Fis family transcriptional regulator, factor for inversion stimulation protein"
156,WP_012520109.1,K03557,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03000 Transcription factors [BR:ko03000],"K03557  fis; Fis family transcriptional regulator, factor for inversion stimulation protein"
157,WP_012520109.1,K03557,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03036 Chromosome and associated proteins [BR:ko03036],"K03557  fis; Fis family transcriptional regulator, factor for inversion stimulation protein"
158,WP_012520109.1,K03557,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03400 DNA repair and recombination proteins [BR:ko03400],"K03557  fis; Fis family transcriptional regulator, factor for inversion stimulation protein"
159,WP_012520152.1,K07070,09190 Not Included in Pathway or Brite,09194 Poorly characterized,99997 Function unknown,K07070  K07070; uncharacterized protein
160,WP_012520154.1,,,,,
161,WP_012520217.1,K02115,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],"K02115  ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
162,WP_012520217.1,K02115,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],"K02115  ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
163,WP_012520217.1,K02115,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],"K02115  ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
164,WP_012520222.1,K02110,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
165,WP_012520222.1,K02110,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
166,WP_012520222.1,K02110,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],"K02110  ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
167,WP_012520223.1,K02108,09100 Metabolism,09102 Energy metabolism,00190 Oxidative phosphorylation [PATH:ko00190],"K02108  ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
168,WP_012520223.1,K02108,09100 Metabolism,09102 Energy metabolism,00195 Photosynthesis [PATH:ko00195],"K02108  ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
169,WP_012520223.1,K02108,09180 Brite Hierarchies,09181 Protein families: metabolism,00194 Photosynthesis proteins [BR:ko00194],"K02108  ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
170,WP_012520223.1,K02108,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03110 Chaperones and folding catalysts [BR:ko03110],"K02108  ATPF0A, atpB; F-type H+-transporting ATPase subunit a"
171,WP_014290886.1,K02914,09120 Genetic Information Processing,09122 Translation,03010 Ribosome [PATH:ko03010],"K02914  RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34"
172,WP_014290886.1,K02914,09180 Brite Hierarchies,09182 Protein families: genetic information processing,03011 Ribosome [BR:ko03011],"K02914  RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34"
173,WP_014947716.1,K01878,09120 Genetic Information Processing,09122 Translation,00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970],K01878  glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
174,WP_014947716.1,K01878,09180 Brite Hierarchies,09181 Protein families: metabolism,01007 Amino acid related enzymes [BR:ko01007],K01878  glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
