"locus_tag","type","gene","gene_biotype","old_locus_tag","product","protein_id"
"ACZ81_RS00130","gene","hemF","protein_coding","ACZ81_00130","oxygen-dependent coproporphyrinogen oxidase","WP_049586350.1"
"ACZ81_RS00135","gene",NA,"protein_coding","ACZ81_00135","outer membrane beta-barrel protein","WP_061438872.1"
"ACZ81_RS00140","gene",NA,"protein_coding","ACZ81_00140","group II truncated hemoglobin","WP_014947737.1"
"ACZ81_RS00145","gene","aroE","protein_coding","ACZ81_00145","shikimate dehydrogenase","WP_061438874.1"
"ACZ81_RS00150","gene",NA,"protein_coding","ACZ81_00150","gamma carbonic anhydrase family protein","WP_014977871.1"
"ACZ81_RS00155","gene",NA,"protein_coding","ACZ81_00155","UDP-N-acetylglucosamine 2-epimerase","WP_014977872.1"
"ACZ81_RS00160","gene",NA,"rRNA","ACZ81_00160","16S ribosomal RNA",NA
"ACZ81_RS00165","gene",NA,"rRNA","ACZ81_00165","23S ribosomal RNA",NA
"ACZ81_RS00170","gene","rrf","rRNA","ACZ81_00170","5S ribosomal RNA",NA
"ACZ81_RS00175","gene","rrf","rRNA","ACZ81_00175","5S ribosomal RNA",NA
"ACZ81_RS00180","gene",NA,"protein_coding","ACZ81_00180","acyloxyacyl hydrolase","WP_014975262.1"
"ACZ81_RS00185","gene",NA,"protein_coding","ACZ81_00185","hypothetical protein","WP_061438876.1"
"ACZ81_RS00190","gene",NA,"protein_coding","ACZ81_00190","hypothetical protein","WP_061438878.1"
"ACZ81_RS00195","gene",NA,"protein_coding","ACZ81_00195","error-prone DNA polymerase","WP_061438880.1"
"ACZ81_RS00200","gene",NA,"protein_coding","ACZ81_00200","DNA polymerase Y family protein","WP_061438881.1"
"ACZ81_RS00205","gene",NA,"protein_coding","ACZ81_00205","recombinase RecA","WP_061438884.1"
"ACZ81_RS00210","gene",NA,"protein_coding","ACZ81_00210","hypothetical protein","WP_061438886.1"
"ACZ81_RS00215","gene",NA,"protein_coding","ACZ81_00215","DUF885 domain-containing protein","WP_061438888.1"
"ACZ81_RS00220","gene",NA,"protein_coding","ACZ81_00220","DUF1820 family protein","WP_061438894.1"
"ACZ81_RS00225","gene",NA,"protein_coding","ACZ81_00225","M28 family metallopeptidase","WP_049587523.1"
"ACZ81_RS00230","gene","slmA","protein_coding","ACZ81_00230","nucleoid occlusion factor SlmA","WP_012516568.1"
"ACZ81_RS00235","gene","coaBC","protein_coding","ACZ81_00235","bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC","WP_061438895.1"
"ACZ81_RS00240","gene","radC","protein_coding","ACZ81_00240","DNA repair protein RadC","WP_014947752.1"
"ACZ81_RS00245","gene",NA,"protein_coding","ACZ81_00245","hypothetical protein","WP_014947753.1"
"ACZ81_RS00250","gene",NA,"protein_coding","ACZ81_00250","YjbF family lipoprotein","WP_014947754.1"
"ACZ81_RS00255","gene",NA,"protein_coding","ACZ81_00255","capsule biosynthesis GfcC family protein","WP_039236677.1"
"ACZ81_RS00260","gene",NA,"protein_coding","ACZ81_00260","YjbH domain-containing protein","WP_014977887.1"
"ACZ81_RS00265","gene","rpmB","protein_coding","ACZ81_00265","50S ribosomal protein L28","WP_014947757.1"
"ACZ81_RS00270","gene","rpmG","protein_coding","ACZ81_00270","50S ribosomal protein L33","WP_012516577.1"
"ACZ81_RS00275","gene",NA,"protein_coding","ACZ81_00275","hypothetical protein","WP_039226967.1"
"ACZ81_RS00280","gene","mutM","protein_coding","ACZ81_00280","bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase","WP_061438898.1"
"ACZ81_RS00285","gene","coaD","protein_coding","ACZ81_00285","pantetheine-phosphate adenylyltransferase","WP_061438900.1"
"ACZ81_RS00290","gene",NA,"protein_coding","ACZ81_00290","3-deoxy-D-manno-octulosonic acid kinase","WP_231506375.1"
"ACZ81_RS00295","gene",NA,"protein_coding","ACZ81_00295","hypothetical protein","WP_039226966.1"
"ACZ81_RS00300","gene",NA,"protein_coding","ACZ81_00300","hypothetical protein","WP_061438903.1"
"ACZ81_RS00305","gene",NA,"protein_coding","ACZ81_00305","EAL domain-containing protein","WP_061438906.1"
"ACZ81_RS00310","gene",NA,"protein_coding","ACZ81_00310","glycine C-acetyltransferase","WP_014977894.1"
"ACZ81_RS00315","gene","tdh","protein_coding","ACZ81_00315","L-threonine 3-dehydrogenase","WP_014947766.1"
"ACZ81_RS00320","gene","glpE","protein_coding","ACZ81_00320","thiosulfate sulfurtransferase GlpE","WP_014947767.1"
"ACZ81_RS00325","gene","glpG","protein_coding","ACZ81_00325","rhomboid family intramembrane serine protease GlpG","WP_014977896.1"
"ACZ81_RS00330","gene","fliL","protein_coding","ACZ81_00330","flagellar basal body-associated protein FliL","WP_014977897.1"
"ACZ81_RS00335","gene",NA,"protein_coding","ACZ81_00335","chorismate lyase","WP_014975276.1"
"ACZ81_RS00340","gene","ubiA","protein_coding","ACZ81_00340","4-hydroxybenzoate octaprenyltransferase","WP_061438908.1"
"ACZ81_RS00345","gene",NA,"protein_coding","ACZ81_00345","accessory factor UbiK family protein","WP_014947772.1"
"ACZ81_RS00350","gene","rep","protein_coding","ACZ81_00350","DNA helicase Rep","WP_061438910.1"
"ACZ81_RS00355","gene",NA,"protein_coding","ACZ81_00355","GGDEF domain-containing protein","WP_014977899.1"
"ACZ81_RS00360","gene",NA,"protein_coding","ACZ81_00360","c-type cytochrome","WP_014947775.1"
"ACZ81_RS00365","gene",NA,"tRNA","ACZ81_00365","tRNA-Arg",NA
"ACZ81_RS00370","gene",NA,"protein_coding","ACZ81_00370","HipA domain-containing protein","WP_061438912.1"
"ACZ81_RS00375","gene",NA,"protein_coding","ACZ81_00375","helix-turn-helix domain-containing protein","WP_061438914.1"
"ACZ81_RS00380","gene","nhaC","protein_coding","ACZ81_00380","Na+/H+ antiporter NhaC","WP_061438916.1"
"ACZ81_RS00385","gene",NA,"protein_coding","ACZ81_00385","BCCT family transporter","WP_061438918.1"
"ACZ81_RS00390","gene",NA,"protein_coding","ACZ81_00390","hypothetical protein","WP_061438920.1"
"ACZ81_RS00395","gene",NA,"protein_coding","ACZ81_00395","DUF2960 family protein","WP_061438921.1"
"ACZ81_RS21395","pseudogene",NA,"pseudogene",NA,"hypothetical protein",NA
"ACZ81_RS00400","gene",NA,"protein_coding","ACZ81_00400","ATP-binding protein","WP_061438923.1"
"ACZ81_RS00405","gene",NA,"protein_coding","ACZ81_00405","SIR2 family protein","WP_061438925.1"
"ACZ81_RS21400","gene",NA,"protein_coding",NA,"hypothetical protein","WP_232375976.1"
"ACZ81_RS21405","gene",NA,"protein_coding",NA,"replication endonuclease","WP_232376015.1"
"ACZ81_RS00420","gene",NA,"protein_coding","ACZ81_00420","DUF4124 domain-containing protein","WP_061438931.1"
"ACZ81_RS00425","gene",NA,"protein_coding","ACZ81_00425","class I SAM-dependent methyltransferase","WP_061438932.1"
"ACZ81_RS00430","gene",NA,"protein_coding","ACZ81_00430","TonB-dependent siderophore receptor","WP_061438933.1"
"ACZ81_RS00435","gene",NA,"protein_coding","ACZ81_00435","hypothetical protein","WP_039227006.1"
"ACZ81_RS00440","gene",NA,"protein_coding","ACZ81_00440","hypothetical protein","WP_039236707.1"
"ACZ81_RS00445","gene",NA,"protein_coding","ACZ81_00445","acyl-CoA dehydrogenase family protein","WP_061438935.1"
"ACZ81_RS00450","gene",NA,"protein_coding","ACZ81_00450","LysR family transcriptional regulator","WP_061486886.1"
"ACZ81_RS00455","gene",NA,"protein_coding","ACZ81_00455","MBL fold metallo-hydrolase","WP_061486888.1"
"ACZ81_RS00460","gene",NA,"protein_coding","ACZ81_00460","YcjX family protein","WP_014947789.1"
"ACZ81_RS00465","gene",NA,"protein_coding","ACZ81_00465","DUF697 domain-containing protein","WP_061438938.1"
"ACZ81_RS00470","gene",NA,"protein_coding","ACZ81_00470","threonine/serine exporter family protein","WP_014947791.1"
"ACZ81_RS00475","gene","thiH","protein_coding","ACZ81_00475","2-iminoacetate synthase ThiH","WP_061438940.1"
"ACZ81_RS00480","gene",NA,"protein_coding","ACZ81_00480","thiazole synthase","WP_061438943.1"
"ACZ81_RS00485","gene","thiS","protein_coding","ACZ81_00485","sulfur carrier protein ThiS","WP_014947794.1"
"ACZ81_RS00490","gene",NA,"protein_coding","ACZ81_00490","HesA/MoeB/ThiF family protein","WP_061438944.1"
"ACZ81_RS00495","gene","thiE","protein_coding","ACZ81_00495","thiamine phosphate synthase","WP_061438946.1"
"ACZ81_RS00500","gene","thiC","protein_coding","ACZ81_00500","phosphomethylpyrimidine synthase ThiC","WP_061438948.1"
"ACZ81_RS00505","gene",NA,"protein_coding","ACZ81_00505","heme biosynthesis protein","WP_061438950.1"
"ACZ81_RS00510","gene",NA,"protein_coding","ACZ81_00510","uroporphyrinogen-III C-methyltransferase","WP_061438952.1"
"ACZ81_RS00515","gene",NA,"protein_coding","ACZ81_00515","uroporphyrinogen-III synthase","WP_061438954.1"
"ACZ81_RS00520","gene","hemC","protein_coding","ACZ81_00520","hydroxymethylbilane synthase","WP_014947801.1"
"ACZ81_RS00525","gene",NA,"protein_coding","ACZ81_00525","GGDEF domain-containing protein","WP_049587575.1"
"ACZ81_RS00530","gene",NA,"protein_coding","ACZ81_00530","alpha/beta fold hydrolase","WP_014977932.1"
"ACZ81_RS00535","gene","gmk","protein_coding","ACZ81_00535","guanylate kinase","WP_061438956.1"
"ACZ81_RS00540","gene","rpoZ","protein_coding","ACZ81_00540","DNA-directed RNA polymerase subunit omega","WP_014947805.1"
"ACZ81_RS00545","gene","spoT","protein_coding","ACZ81_00545","bifunctional GTP diphosphokinase/guanosine-3'%2C5'-bis pyrophosphate 3'-pyrophosphohydrolase","WP_039226917.1"
"ACZ81_RS00550","gene",NA,"protein_coding","ACZ81_00550","RidA family protein","WP_014975316.1"
"ACZ81_RS00555","gene","trmH","protein_coding","ACZ81_00555","tRNA (guanosine(18)-2'-O)-methyltransferase TrmH","WP_014975317.1"
"ACZ81_RS00560","gene","recG","protein_coding","ACZ81_00560","ATP-dependent DNA helicase RecG","WP_014975318.1"
"ACZ81_RS00565","gene",NA,"protein_coding","ACZ81_00565","class I SAM-dependent methyltransferase","WP_061438957.1"
"ACZ81_RS00570","gene",NA,"protein_coding","ACZ81_00570","peroxiredoxin","WP_014947810.1"
"ACZ81_RS00575","gene",NA,"protein_coding","ACZ81_00575","hypothetical protein","WP_014947811.1"
"ACZ81_RS00580","gene",NA,"protein_coding","ACZ81_00580","extracellular solute-binding protein","WP_061438959.1"
"ACZ81_RS00585","gene",NA,"protein_coding","ACZ81_00585","iron ABC transporter permease","WP_014975321.1"
"ACZ81_RS00590","gene",NA,"protein_coding","ACZ81_00590","ABC transporter ATP-binding protein","WP_039226913.1"
"ACZ81_RS00595","gene",NA,"protein_coding","ACZ81_00595","NAD(P)/FAD-dependent oxidoreductase","WP_061438961.1"
"ACZ81_RS00600","gene",NA,"protein_coding","ACZ81_00600","LapA family protein","WP_061438963.1"
"ACZ81_RS00605","gene",NA,"protein_coding","ACZ81_00605","hypothetical protein","WP_061438965.1"
"ACZ81_RS00610","gene",NA,"protein_coding","ACZ81_00610","hypothetical protein","WP_061438967.1"
"ACZ81_RS00615","gene",NA,"protein_coding","ACZ81_00615","mechanosensitive ion channel","WP_061438970.1"
"ACZ81_RS00620","gene",NA,"protein_coding","ACZ81_00620","glucosaminidase domain-containing protein","WP_061438972.1"
"ACZ81_RS00625","gene",NA,"protein_coding","ACZ81_00625","sigma-70 family RNA polymerase sigma factor","WP_061438975.1"
"ACZ81_RS00630","gene",NA,"protein_coding","ACZ81_00630","mechanosensitive ion channel","WP_061438978.1"
"ACZ81_RS00635","gene",NA,"protein_coding","ACZ81_00635","hypothetical protein","WP_203229262.1"
"ACZ81_RS00640","gene",NA,"protein_coding","ACZ81_00640","magnesium transporter","WP_061438980.1"
"ACZ81_RS00645","gene",NA,"protein_coding","ACZ81_00645","DUF21 domain-containing protein","WP_061438982.1"
"ACZ81_RS00650","gene","rimK","protein_coding","ACZ81_00650","30S ribosomal protein S6--L-glutamate ligase","WP_061438984.1"
"ACZ81_RS00655","gene",NA,"protein_coding","ACZ81_00655","M14 family metallopeptidase","WP_061438987.1"
"ACZ81_RS00660","gene",NA,"protein_coding","ACZ81_00660","cation:proton antiporter","WP_232375977.1"
"ACZ81_RS00665","gene",NA,"protein_coding","ACZ81_00665","outer membrane beta-barrel protein","WP_061438989.1"
"ACZ81_RS00670","gene",NA,"protein_coding","ACZ81_00670","hypothetical protein","WP_014947817.1"
"ACZ81_RS00675","gene",NA,"protein_coding","ACZ81_00675","hypothetical protein","WP_014975326.1"
"ACZ81_RS00680","gene",NA,"protein_coding","ACZ81_00680","GGDEF domain-containing protein","WP_232375978.1"
"ACZ81_RS00685","gene",NA,"protein_coding","ACZ81_00685","ArgP/LysG family DNA-binding transcriptional regulator","WP_039226907.1"
"ACZ81_RS00690","gene",NA,"protein_coding","ACZ81_00690","LysE family transporter","WP_014975330.1"
"ACZ81_RS00695","gene",NA,"protein_coding","ACZ81_00695","multidrug efflux SMR transporter","WP_014947823.1"
"ACZ81_RS00700","gene",NA,"protein_coding","ACZ81_00700","DUF1499 domain-containing protein","WP_014975331.1"
"ACZ81_RS00705","gene",NA,"protein_coding","ACZ81_00705","molecular chaperone DnaJ","WP_061438997.1"
"ACZ81_RS00710","gene",NA,"protein_coding","ACZ81_00710","efflux RND transporter periplasmic adaptor subunit","WP_014947826.1"
"ACZ81_RS00715","gene",NA,"protein_coding","ACZ81_00715","multidrug efflux RND transporter permease subunit","WP_014947827.1"
"ACZ81_RS00720","gene",NA,"protein_coding","ACZ81_00720","alpha/beta hydrolase","WP_014947828.1"
"ACZ81_RS00725","gene",NA,"protein_coding","ACZ81_00725","bifunctional acetyl-CoA hydrolase/transferase family protein/GNAT family N-acetyltransferase","WP_061486892.1"
"ACZ81_RS00730","gene",NA,"protein_coding","ACZ81_00730","histone deacetylase family protein","WP_061438999.1"
"ACZ81_RS00735","gene",NA,"protein_coding","ACZ81_00735","glutaredoxin","WP_061439000.1"
"ACZ81_RS00740","gene",NA,"protein_coding","ACZ81_00740","DUF6436 domain-containing protein","WP_014947832.1"
"ACZ81_RS00745","gene",NA,"protein_coding","ACZ81_00745","methyl-accepting chemotaxis protein","WP_061439003.1"
"ACZ81_RS00750","gene",NA,"protein_coding","ACZ81_00750","hypothetical protein","WP_061439009.1"
"ACZ81_RS00755","gene",NA,"protein_coding","ACZ81_00755","DUF3300 domain-containing protein","WP_061439011.1"
"ACZ81_RS00760","gene","ribA","protein_coding","ACZ81_00760","GTP cyclohydrolase II","WP_014947836.1"
"ACZ81_RS00765","gene",NA,"protein_coding","ACZ81_00765","EAL domain-containing protein","WP_216600658.1"
"ACZ81_RS00770","gene",NA,"protein_coding","ACZ81_00770","hypothetical protein","WP_061439013.1"
"ACZ81_RS00775","gene",NA,"protein_coding","ACZ81_00775","glutathione S-transferase","WP_014975342.1"
"ACZ81_RS00780","gene","recQ","protein_coding","ACZ81_00780","DNA helicase RecQ","WP_061439015.1"
"ACZ81_RS00785","gene",NA,"protein_coding","ACZ81_00785","thioesterase family protein","WP_014977960.1"
"ACZ81_RS00790","gene",NA,"protein_coding","ACZ81_00790","magnesium transporter","WP_014977961.1"
"ACZ81_RS00795","gene","rarD","protein_coding","ACZ81_00795","EamA family transporter RarD","WP_014977962.1"
"ACZ81_RS00800","gene",NA,"protein_coding","ACZ81_00800","diguanylate cyclase","WP_014977963.1"
"ACZ81_RS00805","gene","uvrD","protein_coding","ACZ81_00805","DNA helicase II","WP_061439017.1"
"ACZ81_RS00810","gene","cysE","protein_coding","ACZ81_00810","serine O-acetyltransferase","WP_014947845.1"
"ACZ81_RS00815","gene",NA,"protein_coding","ACZ81_00815","IS4 family transposase","WP_061439020.1"
"ACZ81_RS00820","gene",NA,"protein_coding","ACZ81_00820","sensor domain-containing diguanylate cyclase","WP_014977965.1"
"ACZ81_RS00825","gene",NA,"protein_coding","ACZ81_00825","HAD-IA family hydrolase","WP_061439022.1"
"ACZ81_RS00830","gene","xerC","protein_coding","ACZ81_00830","tyrosine recombinase XerC","WP_061439024.1"
"ACZ81_RS00835","gene",NA,"protein_coding","ACZ81_00835","DUF484 family protein","WP_014947849.1"
"ACZ81_RS00840","gene","dapF","protein_coding","ACZ81_00840","diaminopimelate epimerase","WP_014947850.1"
"ACZ81_RS00845","gene","lysA","protein_coding","ACZ81_00845","diaminopimelate decarboxylase","WP_014977968.1"
"ACZ81_RS00850","gene",NA,"protein_coding","ACZ81_00850","lipoprotein","WP_232300901.1"
"ACZ81_RS00855","gene",NA,"protein_coding","ACZ81_00855","glycosyl transferase","WP_049587089.1"
"ACZ81_RS00860","gene",NA,"protein_coding","ACZ81_00860","phosphatase PAP2 family protein","WP_014947854.1"
"ACZ81_RS00865","gene","rraA","protein_coding","ACZ81_00865","ribonuclease E activity regulator RraA","WP_014947855.1"
"ACZ81_RS00870","gene",NA,"protein_coding","ACZ81_00870","extracellular solute-binding protein","WP_061439026.1"
"ACZ81_RS00875","gene",NA,"protein_coding","ACZ81_00875","S1/P1 nuclease","WP_061439028.1"
"ACZ81_RS00880","gene",NA,"protein_coding","ACZ81_00880","UbiX family flavin prenyltransferase","WP_014975357.1"
"ACZ81_RS00885","gene","mpl","protein_coding","ACZ81_00885","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase","WP_081106052.1"
"ACZ81_RS00890","gene",NA,"protein_coding","ACZ81_00890","class 1 fructose-bisphosphatase","WP_014947860.1"
"ACZ81_RS00895","gene","ppa","protein_coding","ACZ81_00895","inorganic diphosphatase","WP_014947861.1"
"ACZ81_RS00900","gene",NA,"protein_coding","ACZ81_00900","DUF3299 domain-containing protein","WP_014947862.1"
"ACZ81_RS00905","gene",NA,"protein_coding","ACZ81_00905","dihydrodipicolinate synthase family protein","WP_061439033.1"
"ACZ81_RS00910","gene",NA,"protein_coding","ACZ81_00910","2OG-Fe(II) oxygenase","WP_014975360.1"
"ACZ81_RS00915","gene",NA,"protein_coding","ACZ81_00915","acyl-CoA thioesterase","WP_014975361.1"
"ACZ81_RS00920","gene",NA,"protein_coding","ACZ81_00920","hypothetical protein","WP_014975362.1"
"ACZ81_RS00925","gene",NA,"protein_coding","ACZ81_00925","S41 family peptidase","WP_014975363.1"
"ACZ81_RS00930","gene",NA,"protein_coding","ACZ81_00930","Hsp70 family protein","WP_014975364.1"
"ACZ81_RS21265","gene",NA,"protein_coding","ACZ81_00935","hypothetical protein","WP_012516741.1"
"ACZ81_RS00935","gene","uvrA","protein_coding","ACZ81_00940","excinuclease ABC subunit UvrA","WP_014975365.1"
"ACZ81_RS00940","gene",NA,"protein_coding","ACZ81_00945","MFS transporter","WP_061439035.1"
"ACZ81_RS00945","gene",NA,"protein_coding","ACZ81_00950","beta-phosphoglucomutase family hydrolase","WP_014977981.1"
"ACZ81_RS00950","gene",NA,"protein_coding","ACZ81_00955","hypothetical protein","WP_232306440.1"
"ACZ81_RS00955","gene",NA,"protein_coding","ACZ81_00960","alpha/beta hydrolase","WP_014947874.1"
"ACZ81_RS00960","gene",NA,"protein_coding","ACZ81_00965","LacI family DNA-binding transcriptional regulator","WP_014947876.1"
"ACZ81_RS00965","gene",NA,"protein_coding","ACZ81_00970","galactose mutarotase","WP_014975371.1"
"ACZ81_RS00970","gene",NA,"protein_coding","ACZ81_00975","UDP-glucose--hexose-1-phosphate uridylyltransferase","WP_014947878.1"
"ACZ81_RS00975","gene","galK","protein_coding","ACZ81_00980","galactokinase","WP_061439037.1"
"ACZ81_RS00980","gene",NA,"protein_coding","ACZ81_00985","sodium/sugar symporter","WP_014975374.1"
"ACZ81_RS00985","gene",NA,"protein_coding","ACZ81_00990","single-stranded DNA-binding protein","WP_014947881.1"
"ACZ81_RS00990","gene",NA,"protein_coding","ACZ81_00995","hypothetical protein","WP_061439040.1"
"ACZ81_RS00995","gene",NA,"protein_coding","ACZ81_01000","dienelactone hydrolase family protein","WP_069943577.1"
"ACZ81_RS01000","gene",NA,"protein_coding","ACZ81_01005","alpha-galactosidase","WP_061439044.1"
"ACZ81_RS01005","gene",NA,"protein_coding","ACZ81_01010","SLC5 family protein","WP_039217377.1"
"ACZ81_RS01010","gene",NA,"protein_coding","ACZ81_01015","TonB-dependent receptor","WP_014947886.1"
"ACZ81_RS01015","gene","glpK","protein_coding","ACZ81_01020","glycerol kinase GlpK","WP_061439046.1"
"ACZ81_RS01020","gene",NA,"protein_coding","ACZ81_01025","DeoR/GlpR family transcriptional regulator","WP_014947888.1"
"ACZ81_RS01025","gene","glpD","protein_coding","ACZ81_01030","glycerol-3-phosphate dehydrogenase","WP_061439048.1"
"ACZ81_RS01030","gene",NA,"protein_coding","ACZ81_01035","histidine phosphatase family protein","WP_232376016.1"
"ACZ81_RS01035","gene",NA,"protein_coding","ACZ81_01040","hypothetical protein","WP_061439053.1"
"ACZ81_RS01040","gene",NA,"protein_coding","ACZ81_01045","hypothetical protein","WP_061439054.1"
"ACZ81_RS01045","gene",NA,"protein_coding","ACZ81_01050","PilN domain-containing protein","WP_061439056.1"
"ACZ81_RS01050","gene",NA,"protein_coding","ACZ81_01055","type II secretion system protein M","WP_061439059.1"
"ACZ81_RS01055","gene",NA,"protein_coding","ACZ81_01060","agglutinin biogenesis protein MshK","WP_014947895.1"
"ACZ81_RS01060","gene","mshL","protein_coding","ACZ81_01065","pilus (MSHA type) biogenesis protein MshL","WP_061439061.1"
"ACZ81_RS01065","gene",NA,"protein_coding","ACZ81_01070","AAA family ATPase","WP_061439063.1"
"ACZ81_RS01070","gene",NA,"protein_coding","ACZ81_01075","tetratricopeptide repeat protein","WP_061439065.1"
"ACZ81_RS01075","gene",NA,"protein_coding","ACZ81_01080","GspE/PulE family protein","WP_061439067.1"
"ACZ81_RS01080","gene",NA,"protein_coding","ACZ81_01085","type II secretion system F family protein","WP_061439069.1"
"ACZ81_RS01085","gene",NA,"protein_coding","ACZ81_01090","hypothetical protein","WP_061439071.1"
"ACZ81_RS01090","gene",NA,"protein_coding","ACZ81_01095","prepilin-type N-terminal cleavage/methylation domain-containing protein","WP_014978004.1"
"ACZ81_RS01095","gene",NA,"protein_coding","ACZ81_01100","type II secretion system GspH family protein","WP_061439073.1"
"ACZ81_RS01100","gene",NA,"protein_coding","ACZ81_01105","type II secretion system GspH family protein","WP_061439074.1"
"ACZ81_RS01105","gene",NA,"protein_coding","ACZ81_01110","prepilin-type N-terminal cleavage/methylation domain-containing protein","WP_061439076.1"
"ACZ81_RS01110","gene",NA,"protein_coding","ACZ81_01115","type II secretion system GspH family protein","WP_061439078.1"
"ACZ81_RS01115","gene",NA,"protein_coding","ACZ81_01120","hypothetical protein","WP_061439080.1"
"ACZ81_RS01120","gene",NA,"protein_coding","ACZ81_01125","H-type lectin domain-containing protein","WP_061439082.1"
"ACZ81_RS01125","gene",NA,"protein_coding","ACZ81_01130","rod shape-determining protein","WP_014947909.1"
"ACZ81_RS01130","gene","mreC","protein_coding","ACZ81_01135","rod shape-determining protein MreC","WP_014978010.1"
"ACZ81_RS01135","gene","mreD","protein_coding","ACZ81_01140","rod shape-determining protein MreD","WP_014978011.1"
"ACZ81_RS01140","gene",NA,"protein_coding","ACZ81_01145","Maf family protein","WP_061439084.1"
"ACZ81_RS01145","gene","rng","protein_coding","ACZ81_01150","ribonuclease G","WP_014947913.1"
"ACZ81_RS01150","gene",NA,"protein_coding","ACZ81_01155","TIGR02099 family protein","WP_061439086.1"
"ACZ81_RS01155","gene",NA,"protein_coding","ACZ81_01160","carbon-nitrogen hydrolase family protein","WP_061439088.1"
"ACZ81_RS01160","gene","tldD","protein_coding","ACZ81_01165","metalloprotease TldD","WP_061439090.1"
"ACZ81_RS01165","gene",NA,"protein_coding","ACZ81_01170","hypothetical protein","WP_061439092.1"
"ACZ81_RS01170","gene",NA,"protein_coding","ACZ81_01175","ribosome-associated protein","WP_061439094.1"
"ACZ81_RS01175","gene","pmbA","protein_coding","ACZ81_01180","metalloprotease PmbA","WP_061439098.1"
"ACZ81_RS01180","gene",NA,"protein_coding","ACZ81_01185","AraC family transcriptional regulator","WP_061439100.1"
"ACZ81_RS01185","gene",NA,"protein_coding","ACZ81_01190","beta-galactosidase","WP_061439102.1"
"ACZ81_RS01190","gene","arcA","protein_coding","ACZ81_01195","two-component system response regulator ArcA","WP_014947922.1"
"ACZ81_RS01195","gene",NA,"protein_coding","ACZ81_01200","HAMP domain-containing histidine kinase","WP_014947923.1"
"ACZ81_RS01200","gene","glgA","protein_coding","ACZ81_01205","glycogen synthase GlgA","WP_061439104.1"
"ACZ81_RS01205","gene",NA,"protein_coding","ACZ81_01210","methyltransferase","WP_061439106.1"
